Team,City,State,Stadium City,Stadium State,Venue,League
Celtics,Boston,Massachusetts,Boston,Massachusetts,TD Garden,NBA
Nets,Brooklyn,New York,Brooklyn,New York,Barclays Center,NBA
Knicks,New York,New York,New York,New York,Madison Square Garden,NBA
76ers,Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,Wells Fargo Center,NBA
Raptors,Toronto,Ontario,Toronto,Ontario,Air Canada Centre,NBA
Bulls,Chicago,Illinois,Chicago,Illinois,United Center,NBA
Cavaliers,Cleveland,Ohio,Cleveland,Ohio,Quicken Loans Arena,NBA
Pistons,Detriot,Michigan,Detriot,Michigan,The Palace of Auburn Hills,NBA
Pacers,Indianapolis,Indiana,Indianapolis,Indiana,Bankers Life Fieldhouse,NBA
Bucks,Milwaukee,Wisconsin,Milwaukee,Wisconsin,Bradley Center,NBA
Hawks,Atlanta,Georgia,Atlanta,Georgia,Philips Arena,NBA
Bobcats,Charlotte,North Carolina,Charlotte,North Carolina,Time Warner Cable Arena,NBA
Heat,Miami,Florida,Miami,Florida,AmericanAirlines Arena,NBA
Magic,Orlando,Florida,Orlando,Florida,Amway Center,NBA
Wizards,Washington,D.C.,Washington,D.C.,Verizon Center,NBA
Nuggets,Denver,Colorado,Denver,Colorado,Pepsi Center,NBA
Timberwolves,Minneapolis,Minnesota,Minneapolis,Minnesota,Target Center,NBA
Thunder,Oklahoma City,Oklahoma,Oklahoma City,Oklahoma,Chesapeake Energy Arena,NBA
Trail Blazers,Portland,Oregon,Portland,Oregon,Rose Garden,NBA
Jazz,Salt Lake City,Utah,Salt Lake City,Utah,EnergySolutions Arena,NBA
Warriors,Oakland,California,Oakland,California,Oracle Arena,NBA
Clippers,Los Angeles,California,Los Angeles,California,Staples Center,NBA
Lakers,Los Angeles,California,Los Angeles,California,Staples Center,NBA
Suns,Phoenix,Arizona,Phoenix,Arizona,US Airways Center,NBA
Kings,Sacramento,California,Sacramento,California,Power Balance Pavilion,NBA
Mavericks,Dallas,Texas,Dallas,Texas,American Airlines Center,NBA
Rockets,Houston,Texas,Houston,Texas,Toyota Center,NBA
Grizzlies,Memphis,Tennessee,Memphis,Tennessee,FedExForum,NBA
Pelicans,New Orleans,Louisiana,New Orleans,Louisiana,New Orleans Arena,NBA
Spurs,San Antonio,Texas,San Antonio,Texas,AT&T Center,NBA
Braves,Atlanta,Georgia,Atlanta,Georgia,Turner Field,MLB
Marlins,Miami,Florida,Miami,Florida,Marlins Park,MLB
Mets,New York,New York,New York,New York,Citi Field,MLB
Phillies,Philadelphia,Pennsylvania,Philadelphia,Pennsylvania,Citizens Bank Park,MLB
Nationals,Washington,D.C.,Washington,D.C.,Nationals Park,MLB
Cubs,Chicago,Illinois,Chicago,Illinois,Wrigley Field,MLB
Reds,Cincinnati,Ohio,Cincinnati,Ohio,Great American Ball Park,MLB
Brewers,Milwaukee,Wisconsin,Milwaukee,Wisconsin,Miller Park,MLB
Pirates,Pittsburgh,Pennsylvania,Pittsburgh,Pennsylvania,PNC Park,MLB
Cardinals,St. Louis,Missouri,St. Louis,Missouri,Busch Stadium,MLB
Diamondbacks,Phoenix,Arizona,Phoenix,Arizona,Chase Field,MLB
Rockies,Denver,Colorado,Denver,Colorado,Coors Field,MLB
Dodgers,Los Angeles,California,Los Angeles,California,Dodger Stadium,MLB
Padres,San Diego,California,San Diego,California,PETCO Park,MLB
Giants,San Francisco,California,San Francisco,California,AT&T Park,MLB
Orioles,Baltimore,Maryland,Baltimore,Maryland,Oriole Park at Camden Yards,MLB
Red Sox,Boston,Massachusetts,Boston,Massachusetts,Fenway Park,MLB
Yankees,New York,New York,New York,New York,Yankee Stadium,MLB
Rays,Tampa,Florida,Tampa,Florida,Tropicana Field,MLB
Blue Jays,Toronto,Ontario,Toronto,Ontario,Rogers Centre,MLB
White Sox,Chicago,Illinois,Chicago,Illinois,U.S. Cellular Field,MLB
Indians,Cleveland,Ohio,Cleveland,Ohio,Progressive Field,MLB
Tigers,Detroit,Michigan,Detroit,Michigan,Comerica Park,MLB
Royals,Kansas City,Missouri,Kansas City,Missouri,Kauffman Stadium,MLB
Twins,Minneapolis,Minnesota,Minneapolis,Minnesota,Target Field,MLB
Astros,Houston,Texas,Houston,Texas,Minute Maid Park,MLB
Angels,Anaheim,California,Anaheim,California,Angel Stadium of Anaheim,MLB
Athletics,Oakland,California,Oakland,California,O.co Coliseum,MLB
Mariners,Seattle,Washington,Seattle,Washington,Safeco Field,MLB
