Angels,MLB,9052,4529,4520,0.5,10,1
Astros,MLB,8892,4359,4528,0.49,10,0
Athletics,MLB,18188,8806,9295,0.486,26,9
Blue Jays,MLB,6465,3217,3245,0.498,7,2
Braves,MLB,21129,10486,10489,0.5,23,3
Brewers,MLB,7755,3698,4053,0.477,4,0
Cardinals,MLB,20753,10708,9893,0.52,28,11
Cubs,MLB,21165,10768,10236,0.513,18,3
Diamondbacks,MLB,3184,1563,1621,0.491,5,1
Dodgers,MLB,20550,10747,9664,0.527,30,6
Giants,MLB,20637,10992,9482,0.537,26,8
Indians,MLB,18224,9248,8885,0.51,12,2
Mariners,MLB,6465,3039,3424,0.47,4,0
Marlins,MLB,3924,1843,2081,0.47,2,2
Mets,MLB,8882,4263,4611,0.48,9,2
Nationals,MLB,7749,3768,3977,0.487,4,0
Orioles,MLB,18226,8644,9472,0.477,14,3
Padres,MLB,7758,3588,4168,0.463,5,0
Phillies,MLB,20558,9637,10806,0.471,14,2
Pirates,MLB,20711,10370,10201,0.504,17,5
Rangers,MLB,9038,4327,4705,0.479,8,0
Rays,MLB,3184,1475,1709,0.463,4,0
Red Sox,MLB,18215,9376,8756,0.517,22,8
Reds,MLB,20751,10432,10180,0.506,15,5
Rockies,MLB,3933,1845,2088,0.469,3,0
Royals,MLB,7744,3759,3983,0.486,9,2
Tigers,MLB,18250,9219,8938,0.508,16,4
Twins,MLB,18233,8689,9435,0.479,14,3
White Sox,MLB,18220,9123,8994,0.504,9,3
Yankees,MLB,17925,10141,7696,0.569,52,27
76ers,NBA,5386,2754,2632,0.511,47,3
Bucks,NBA,3970,2025,1945,0.51,29,1
Bulls,NBA,4133,2156,1977,0.522,35,6
Cavaliers,NBA,3806,1779,2027,0.467,21,1
Celtics,NBA,5560,3274,2286,0.589,54,17
Clippers,NBA,3806,1520,2286,0.399,13,0
Grizzlies,NBA,1756,737,1019,0.42,10,0
Hawks,NBA,5388,2693,2695,0.5,46,1
Heat,NBA,2330,1211,1119,0.52,19,3
Hornets,NBA,2166,952,1214,0.44,10,0
Jazz,NBA,3478,1866,1612,0.537,26,0
Kings,NBA,5451,2496,2955,0.458,29,1
Knicks,NBA,5557,2732,2825,0.492,42,2
Lakers,NBA,5451,3261,2190,0.598,60,16
Magic,NBA,2248,1091,1157,0.485,14,0
Mavericks,NBA,2986,1515,1471,0.507,21,1
Nets,NBA,4058,1754,2304,0.432,26,2
Nuggets,NBA,4058,2016,2042,0.497,33,0
Pacers,NBA,4057,2075,1982,0.511,33,3
Pelicans,NBA,1214,562,652,0.463,6,0
Pistons,NBA,5450,2653,2797,0.487,41,3
Raptors,NBA,1756,785,971,0.447,9,0
Rockets,NBA,4052,2107,1945,0.52,31,2
Spurs,NBA,4058,2445,1613,0.603,45,5
Suns,NBA,3970,2146,1824,0.541,29,0
Thunder,NBA,4052,2186,1866,0.539,29,1
Timberwolves,NBA,2248,878,1370,0.391,8,0
Trail Blazers,NBA,3806,2032,1774,0.534,33,1
Warriors,NBA,5556,2657,2899,0.478,33,5
Wizards,NBA,4533,2053,2480,0.453,28,1
49ers,NFL,1040,560,464,0.547,26,5
Bears,NFL,1354,744,568,0.567,25,1
Bengals,NFL,756,344,408,0.458,14,0
Bills,NFL,868,400,460,0.465,17,0
Broncos,NFL,868,465,393,0.542,22,3
Browns,NFL,992,509,470,0.52,28,0
Buccaneers,NFL,644,250,393,0.389,10,1
Cardinals,NFL,1314,542,732,0.426,10,0
Chargers,NFL,868,426,431,0.497,18,0
Chiefs,NFL,868,447,409,0.522,19,1
Colts,NFL,950,502,441,0.532,27,2
Cowboys,NFL,866,493,367,0.573,32,5
Dolphins,NFL,784,439,341,0.563,23,2
Eagles,NFL,1172,555,591,0.484,24,0
Falcons,NFL,784,341,437,0.438,13,0
Giants,NFL,1289,684,572,0.544,32,4
Jaguars,NFL,352,155,197,0.44,6,0
Jets,NFL,868,392,468,0.456,14,1
Lions,NFL,1217,544,641,0.459,17,0
Packers,NFL,1320,730,553,0.569,32,4
Panthers,NFL,352,172,179,0.49,7,0
Patriots,NFL,868,476,383,0.554,24,5
Raiders,NFL,868,456,401,0.532,22,3
Rams,NFL,1119,544,554,0.495,27,1
